1,20120041,Nguyen Van Anh,Nam,4/1/2002,123456789
2,20120042,Tran Thi Bich Ngoc,Nu,15/04/2002,987654321
3,20120043,Le Minh Hieu,Nam,26/07/2002,456789012
4,20120044,Pham Thi Thuy Linh,Nu,7/10/2002,789012345
5,20120045,Hoang Van Cuong,Nam,18/02/2002,234567890
6,20120046,Bui Thi Nhu Quynh,Nu,29/05/2002,567890123
7,20120047,Nguyen Gia Bao,Nam,10/8/2002,901234567
8,20120048,Tran Thi Thanh Thuy,Nu,21/11/2002,345678901
9,20120049,Le Van Hung,Nam,2/3/2002,678901234
10,20120050,Pham Thi Ngoc Anh,Nu,13/06/2002,12345678
11,20120051,Hoang Minh Duc,Nam,24/09/2002,890123456
12,20120052,Bui Thi Minh Chau,Nu,5/1/2002,234567890
13,20120053,Nguyen Gia Linh,Nam,16/04/2002,345678901
14,20120054,Tran Thi Thanh Mai,Nu,27/07/2002,456789012
15,20120055,Le Van Kiet,Nam,8/10/2002,567890123
16,20120056,Pham Thi Ngoc Diep,Nu,19/01/2002,678901234
17,20120057,Hoang Gia Bao,Nam,30/04/2002,789012345
18,20120058,Bui Thi Minh Hoa,Nu,11/8/2002,890123456
19,20120059,Nguyen Van Dat,Nam,22/11/2002,901234567
20,20120060,Tran Thi Thanh Binh,Nu,3/3/2002,12345678
21,20120061,Le Minh Khoa,Nam,14/06/2002,123456789
22,20120062,Pham Gia Linh,Nu,25/09/2002,234567890
23,20120063,Hoang Thi Cam Ly,Nu,6/1/2002,345678901
24,20120064,Bui Van Phi,Nam,17/04/2002,456789012
25,20120065,Nguyen Thi Thuy Trang,Nu,28/07/2002,567890123
26,20120066,Tran Gia Huy,Nam,9/10/2002,678901234
27,20120067,Le Thi Huong Giang,Nu,20/01/2002,789012345
28,20120068,Pham Van Quan,Nam,1/5/2002,890123456
29,20120069,Hoang Thi Ngoc Linh,Nu,12/8/2002,901234567
30,20120070,Bui Thi Thanh Truc,Nu,23/11/2002,12345678
31,20120071,Nguyen Gia Phuong,Nam,4/3/2002,123456789
32,20120072,Tran Thi Thanh Ngan,Nu,15/06/2002,234567890
33,20120073,Le Minh Tuan,Nam,26/09/2002,345678901
34,20120074,Pham Thi Nhu Y,Nu,7/1/2002,456789012
35,20120075,Hoang Van Khanh,Nam,18/04/2002,567890123
36,20120076,Bui Thi Thanh Ha,Nu,29/07/2002,678901234
37,20120077,Nguyen Gia Linh,Nam,10/10/2002,789012345
38,20120078,Tran Thi Thuy Linh,Nu,21/01/2002,890123456
39,20120079,Le Van Hung,Nam,2/5/2002,901234567
40,20120080,Pham Gia Bao,Nam,13/08/2002,12345678
41,20120081,Hoang Thi Ngoc Anh,Nu,24/11/2002,123456789
42,20120082,Bui Van Kiet,Nam,5/3/2002,234567890
43,20120083,Nguyen Thi Minh Chau,Nu,16/06/2002,345678901
44,20120084,Tran Gia Huy,Nam,27/09/2002,456789012
45,20120085,Le Thi Thanh Mai,Nu,8/1/2002,567890123
46,20120086,Pham Thi Minh Hoa,Nu,19/04/2002,678901234
47,20120087,Hoang Van Cuong,Nam,30/07/2002,789012345
48,20120088,Bui Thi Ngoc Diep,Nu,11/10/2002,890123456
49,20120089,Nguyen Gia Linh,Nam,22/01/2002,901234567
50,20120090,Tran Thi Thanh Binh,Nu,3/5/2002,12345678
